id,title,year,venue,authors
conf/sigmod/LiskovACDGGMMS96, Safe and Efficient Sharing of Persistent Objects in Thor,1996,SIGMOD Conference,Atul Adya  Liuba Shrira  Miguel Castro  Robert Gruber  Andrew C. Myers  Barbara Liskov  Umesh Maheshwari  Sanjay Ghemawat  Mark Day
conf/vldb/AmbiteKKMST01, The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,2001,VLDB,Cyrus Shahabi  Mohammad R. Kolahdouzan  Craig A. Knoblock  Jos� Luis Ambite  Maria Muslea  Snehal Thakkar
journals/vldb/ConstantopoulosJMV95, The Software Information Base: A Server for Reuse,1995,VLDB J.,Panos Constantopoulos  Yannis Vassiliou  Matthias Jarke  John Mylopoulos
journals/sigmod/UrbanDG96, Database Research at Arizona State University,1996,SIGMOD Record,Suzanne W. Dietrich  Forouzan Golshani  Susan Darling Urban
conf/sigmod/CeriFPP95, The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,1995,SIGMOD Conference,Giuseppe Psaila  Stefano Ceri  Stefano Paraboschi  Piero Fraternali
journals/sigmod/Liu02b, Editor's Notes,2002,SIGMOD Record,Ling Liu
conf/sigmod/Aulakh98, About Quark Digital Media System,1998,SIGMOD Conference,Kamar Aulakh
journals/sigmod/DreyerDS94, Research Perspectives for Time Series Management Systems,1994,SIGMOD Record,Duri Schmidt  Angelika Kotz Dittrich  Werner Dreyer
conf/vldb/OConnellWG01, Collaborative Analytical Processing - Dream or Reality? (Panel abstract),2001,VLDB,Goetz Graefe  William O'Connell  Andrew Witkowski
conf/vldb/WangZL99, Building Hierarchical Classifiers Using Class Proximity,1999,VLDB,Shiang Chen Liew  Senqiang Zhou  Ke Wang
conf/vldb/CiliaHB02, Profiling and Internet Connectivity in Automotive Environments,2002,VLDB,P. Hasselmayer  Mariano Cilia  Alejandro P. Buchmann
conf/sigmod/ZhouLP99, TAM: A System for Dynamic Transactional Activity Management,1999,SIGMOD Conference,Ling Liu  Calton Pu  Tong Zhou
conf/vldb/SilversteinBMU98, Scalable Techniques for Mining Causal Structures,1998,VLDB,Sergey Brin  Craig Silverstein  Rajeev Motwani  Jeffrey D. Ullman
conf/sigmod/DeshpandeRSN98, Caching Multidimensional Queries Using Chunks,1998,SIGMOD Conference,Karthikeyan Ramasamy  Prasad Deshpande  Amit Shukla  Jeffrey F. Naughton
conf/sigmod/BrinDG95, Copy Detection Mechanisms for Digital Documents,1995,SIGMOD Conference,Hector Garcia-Molina  Sergey Brin  James Davis
conf/vldb/KornLKF98, Ratio Rules: A New Paradigm for Fast  Quantifiable Data Mining,1998,VLDB,Yannis Kotidis  Christos Faloutsos  Flip Korn  Alexandros Labrinidis
journals/vldb/AilamakiDH02, Data page layouts for relational databases on deep memory hierarchies,2002,VLDB J.,David J. DeWitt  Mark D. Hill  Anastassia Ailamaki
conf/vldb/GuntzerBK00, Optimizing Multi-Feature Queries for Image Databases,2000,VLDB,Ulrich G�ntzer  Werner Kie�ling  Wolf-Tilo Balke
journals/sigmod/Alonso95, Trade Press News,1995,SIGMOD Record,Rafael Alonso
journals/tods/CeriFPT94, Automatic Generation of Production Rules for Integrity Maintenance,1994,ACM Trans. Database Syst.,Letizia Tanca  Stefano Ceri  Piero Fraternali  Stefano Paraboschi
conf/sigmod/RiedewaldAA02, Efficient integration and aggregation of historical information,2002,SIGMOD Conference,Amr El Abbadi  Mirek Riedewald  Divyakant Agrawal
journals/tods/FranklinCL97, Transactional Client-Server Cache Consistency: Alternatives and Performance,1997,ACM Trans. Database Syst.,Michael J. Franklin  Michael J. Carey  Miron Livny
journals/sigmod/SchmidtWKFCMB01, Why And How To Benchmark XML Databases,2001,SIGMOD Record,Ralph Busse  Michael J. Carey  Daniela Florescu  Martin L. Kersten  Albrecht Schmidt  Florian Waas  Ioana Manolescu
conf/sigmod/ShahC01, Fault-tolerant  Load-balancing Queries in Telegraph,2001,SIGMOD Conference,Mehul A. Shah  Sirish Chandrasekaran
conf/sigmod/KoudasS97, Size Separation Spatial Join,1997,SIGMOD Conference,Kenneth C. Sevcik  Nick Koudas
conf/sigmod/KrollW94, Distributing a Search Tree Among a Growing Number of Processors,1994,SIGMOD Conference,Brigitte Kr�ll  Peter Widmayer
conf/sigmod/SrikantA96, Mining Quantitative Association Rules in Large Relational Tables,1996,SIGMOD Conference,Ramakrishnan Srikant  Rakesh Agrawal
conf/sigmod/SchusterW01, Communication Efficient Distributed Mining of Association Rules,2001,SIGMOD Conference,Ran Wolff  Assaf Schuster
journals/tods/StoreyCDGS97, Database Design with Common Sense Business Reasoning and Learning,1997,ACM Trans. Database Syst.,Debabrata Dey  Roger H. L. Chiang  Shankar Sundaresan  Robert C. Goldstein  Veda C. Storey
conf/sigmod/HinneburgK99, Clustering Methods for Large Databases: From the Past to the Future,1999,SIGMOD Conference,Alexander Hinneburg  Daniel A. Keim
conf/vldb/Fecteau95, Managing a DB2 Parallel Edition Database,1995,VLDB,Gilles Fecteau
conf/vldb/TreschPL95, Type Classification of Semi-Structured Documents,1995,VLDB,Allen Luniewski  Markus Tresch  Neal Palmer
conf/sigmod/LeflerSW96, DBSim: A Simulation Tool for Predicting Database Performance,1996,SIGMOD Conference,Craig Wong  Mark Stokrp  Mike Lefler
conf/vldb/ShanmugasundaramKSFF01, Querying XML Views of Relational Data,2001,VLDB,Jerry Kiernan  Jayavel Shanmugasundaram  Catalina Fan  Eugene J. Shekita  John Funderburk
conf/vldb/GibsonKR98, Clustering Categorical Data: An Approach Based on Dynamical Systems,1998,VLDB,Prabhakar Raghavan  David Gibson  Jon M. Kleinberg
journals/sigmod/ShinM94, A New Join Algorithm,1994,SIGMOD Record,Arnold Charles Meltzer  Dong Keun Shin
conf/sigmod/SubramanianV98, Cost-Based Optimization of Decision Support Queries Using Transient Views,1998,SIGMOD Conference,Shivakumar Venkataraman  Subbu N. Subramanian
journals/vldb/LometS97, Concurrency and Recovery for Index Trees,1997,VLDB J.,David B. Lomet  Betty Salzberg
conf/vldb/GarofalakisIO98, Resource Scheduling for Composite Multimedia Objects,1998,VLDB,Yannis E. Ioannidis  Minos N. Garofalakis  Banu �zden
journals/tods/Ng01, An extension of the relational data model to incorporate ordered domains,2001,ACM Trans. Database Syst.,Wilfred Ng
journals/vldb/NybergBCGL95, AlphaSort: A Cache-Sensitive Parallel External Sort,1995,VLDB J.,Jim Gray  Zarka Cvetanovic  Tom Barclay  Chris Nyberg  David B. Lomet
conf/sigmod/Team99, In-Memory Data Management for Consumer Transactions The Times-Ten Approach,1999,SIGMOD Conference,Times-Ten Team
conf/sigmod/Greer99, Daytona And The Fourth-Generation Language Cymbal,1999,SIGMOD Conference,Rick Greer
journals/vldb/KornLKF00, Quantifiable Data Mining Using Ratio Rules,2000,VLDB J.,Christos Faloutsos  Yannis Kotidis  Flip Korn  Alexandros Labrinidis
conf/vldb/CherniackFZ01, Data Management for Pervasive Computing,2001,VLDB,Mitch Cherniack  Stanley B. Zdonik  Michael J. Franklin
journals/sigmod/JukicNV03, Closing the key loophole in MLS databases,2003,SIGMOD Record,Nenad Jukic  Svetlozar Nestorov  Susan V. Vrbsky
journals/tods/GravanoGT99, GlOSS: Text-Source Discovery over the Internet,1999,ACM Trans. Database Syst.,Hector Garcia-Molina  Luis Gravano  Anthony Tomasic
conf/sigmod/LazaridisM01, Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,2001,SIGMOD Conference,Iosif Lazaridis  Sharad Mehrotra
conf/sigmod/Zeller03, NonStop SQL/MX Publish/Subscribe: Continuous Data Streams in Transaction Processing,2003,SIGMOD Conference,Hansj�rg Zeller
journals/sigmod/LenzVJS03, Report on the 5th international workshop on the design and management of data warehouses (DMDW'03),2003,SIGMOD Record,Manfred A. Jeusfeld  Hans-Joachim Lenz  Panos Vassiliadis  Martin Staudt
conf/sigmod/MoonWH02, General match: a subsequence matching method in time-series databases based on generalized windows,2002,SIGMOD Conference,Kyu-Young Whang  Yang-Sae Moon  Wook-Shin Han
journals/sigmod/WeikumSR03, Report on the 10th Conference on Database Systems for Business  Technology  and the Web (BTW 2003),2003,SIGMOD Record,Erhard Rahm  Harald Sch�ning  Gerhard Weikum
journals/sigmod/Badia02, Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review,2002,SIGMOD Record,Antonio Badia
conf/vldb/StathatosRB97, Adaptive Data Broadcast in Hybrid Networks,1997,VLDB,Konstantinos Stathatos  John S. Baras  Nick Roussopoulos
conf/sigmod/HjaltasonS98, Incremental Distance Join Algorithms for Spatial Databases,1998,SIGMOD Conference,G�sli R. Hjaltason  Hanan Samet
conf/vldb/LeeLWS97, A Region Splitting Strategy for Physical Database Design of Multidimensional File Organizations,1997,VLDB,Kyu-Young Whang  Il-Yeol Song  Young-Koo Lee  Jong-Hak Lee
journals/sigmod/EisenbergM01, SQL/XML and the SQLX Informal Group of Companies,2001,SIGMOD Record,Jim Melton  Andrew Eisenberg
conf/vldb/AgrawalSX02, Database Technologies for Electronic Commerce,2002,VLDB,Yirong Xu  Ramakrishnan Srikant  Rakesh Agrawal
journals/sigmod/Gal99, Semantic Interoperability in Information Services: Experiencing with CoopWARE,1999,SIGMOD Record,Avigdor Gal
journals/sigmod/Gardels97, Open GIS and On-Line Environmental Libraries,1997,SIGMOD Record,Kenn Gardels
conf/sigmod/MayrS99, Client-Site Query Extensions,1999,SIGMOD Conference,Praveen Seshadri  Tobias Mayr
conf/vldb/IlyasAE02, Joining Ranked Inputs in Practice,2002,VLDB,Walid G. Aref  Ihab F. Ilyas  Ahmed K. Elmagarmid
conf/vldb/RaghavanG03, Complex Queries over Web Repositories,2003,VLDB,Hector Garcia-Molina  Sriram Raghavan
journals/sigmod/PhatakSSS96, Database Research at the Indian Institute of Technology  Bombay,1996,SIGMOD Record,S. Seshadri  Nandlal L. Sarda  D. B. Phatak  S. Sudarshan
conf/sigmod/BrownCL96, Goal-Oriented Buffer Management Revisited,1996,SIGMOD Conference,Kurt P. Brown  Michael J. Carey  Miron Livny
conf/sigmod/ColletC95, The NAOS System,1995,SIGMOD Conference,Christine Collet  Thierry Coupaye
journals/sigmod/Ozsu02, Chair's Message,2002,SIGMOD Record,M. Tamer �zsu
conf/sigmod/ChaudhuriGGM03, Robust and Efficient Fuzzy Match for Online Data Cleaning,2003,SIGMOD Conference,Surajit Chaudhuri  Kris Ganjam  Venkatesh Ganti  Rajeev Motwani
conf/vldb/ManolescuFKXO00, Agora: Living with XML and Relational,2000,VLDB,Daniela Florescu  Donald Kossmann  Dan Olteanu  Ioana Manolescu  Florian Xhumari
journals/vldb/ApersCS02, Editorial,2002,VLDB J.,Peter M. G. Apers  Stefano Ceri  Richard T. Snodgrass
conf/sigmod/NgLK98, A Data Mining Application: Customes Retention at the Port of Singapore Authority (PSA),1998,SIGMOD Conference,KianSing Ng  Huan Liu  HweeBong Kwah
conf/sigmod/AgrawalCN01, Materialized View and Index Selection Tool for Microsoft SQL Server 2000,2001,SIGMOD Conference,Vivek R. Narasayya  Sanjay Agrawal  Surajit Chaudhuri
journals/tods/ChaudhuriS99, Optimization of Queries with User-Defined Predicates,1999,ACM Trans. Database Syst.,Kyuseok Shim  Surajit Chaudhuri
journals/sigmod/BohmR94, Metadata for Multimedia Documents,1994,SIGMOD Record,Thomas C. Rakow  Klemens B�hm
journals/vldb/OzsuC98, Introduction (Special Issue on Multimedia Databases),1998,VLDB J.,M. Tamer �zsu  Stavros Christodoulakis
conf/vldb/Taylor00, Concurrency in the Data Warehouse,2000,VLDB,Richard Taylor
journals/sigmod/Liu01b, Editor's Notes,2001,SIGMOD Record,Ling Liu
conf/vldb/Nori00, Asera: Extranet Architecture for B2B Solutions,2000,VLDB,Anil Nori
conf/sigmod/ImielinskiVB94, Energy Efficient Indexing on Air,1994,SIGMOD Conference,S. Viswanathan  B. R. Badrinath  Tomasz Imielinski
journals/tods/JacoxS03, Iterative spatial join,2003,ACM Trans. Database Syst.,Hanan Samet  Edwin H. Jacox
journals/sigmod/Franklin00a, Editor's Notes,2000,SIGMOD Record,Michael J. Franklin
conf/sigmod/TatarinovVBSSZ02, Storing and querying ordered XML using a relational database system,2002,SIGMOD Conference,Kevin S. Beyer  Jayavel Shanmugasundaram  Chun Zhang  Igor Tatarinov  Stratis Viglas  Eugene J. Shekita
conf/sigmod/GrossmanQ94, Ptool: A Scalable Persistent Object Manager,1994,SIGMOD Conference,Xiao Qin  Robert L. Grossman
journals/sigmod/Giorgini03, Agent-Oriented software engineering report on the 4th AOSE workshop (AOSE 2003),2003,SIGMOD Record,Paolo Giorgini
conf/vldb/MankuM02, Approximate Frequency Counts over Data Streams,2002,VLDB,Rajeev Motwani  Gurmeet Singh Manku
conf/sigmod/SinghTW94, Relaxed Transaction Processing,1994,SIGMOD Conference,Darrell Woelk  Munindar P. Singh  Christine Tomlinson
journals/sigmod/BerndtssonH96, Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95),1996,SIGMOD Record,Mikael Berndtsson  J�rgen Hansson
journals/sigmod/Wong95, An Introduction to Remy's Fast Polymorphic Record Projection,1995,SIGMOD Record,Limsoon Wong
journals/sigmod/Keim96, Pixel-oriented Database Visualizations,1996,SIGMOD Record,Daniel A. Keim
journals/tods/MelnikG03, Adaptive algorithms for set containment joins,2003,ACM Trans. Database Syst.,Hector Garcia-Molina  Sergey Melnik
conf/sigmod/JonkerS95, The ECRC Multi Database System,1995,SIGMOD Conference,Heribert Sch�tz  Willem Jonker
journals/tods/RaschidL96, Semantics for Update Rule Programs and Implementations in a Relational Database Management System,1996,ACM Trans. Database Syst.,Louiqa Raschid  Jorge Lobo
conf/sigmod/LabioWGG00, Efficient Resumption of Interrupted Warehouse Loads,2000,SIGMOD Conference,Hector Garcia-Molina  Vlad Gorelik  Wilburt Labio  Janet L. Wiener
journals/sigmod/X95, Calls for Papers and Announcements,1995,SIGMOD Record,?
conf/sigmod/WhiteD94, QuickStore: A High Performance Mapped Object Store,1994,SIGMOD Conference,David J. DeWitt  Seth J. White
journals/tods/ScioreSR94, Using Semantic Values to Falilitate Interoperability Among Heterogeneous Information Systems,1994,ACM Trans. Database Syst.,Edward Sciore  Michael Siegel  Arnon Rosenthal
conf/vldb/Ramanan03, Covering Indexes for XML Queries: Bisimulation - Simulation = Negation,2003,VLDB,Prakash Ramanan
conf/sigmod/ShashaB02, Database tuning: principles  experiments  and troubleshooting techniques (part II),2002,SIGMOD Conference,Dennis Shasha  Philippe Bonnet
conf/vldb/BrownMCL94, Towards Automated Performance Tuning for Complex Workloads,1994,VLDB,Michael J. Carey  Manish Mehta  Miron Livny  Kurt P. Brown
conf/vldb/YanA94, Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,1994,VLDB,Jurgen Annevelink  Tak W. Yan
conf/vldb/SeidlK97, Efficient User-Adaptable Similarity Search in Large Multimedia Databases,1997,VLDB,Thomas Seidl  Hans-Peter Kriegel
journals/vldb/OoiHLT96, Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,1996,VLDB J.,Jiawei Han  Beng Chin Ooi  Hongjun Lu  Kian-Lee Tan
journals/sigmod/Ulusoy95, An Annotated Bibliography on Real-Time Database Systems,1995,SIGMOD Record,�zg�r Ulusoy
conf/vldb/Ogawa96, Effective & Efficient Document Ranking without using a Large Lexicon,1996,VLDB,Yasushi Ogawa
journals/sigmod/Aggarwal01, Re-designing Distance Functions and Distance-Based Applications for High Dimensional Data,2001,SIGMOD Record,Charu C. Aggarwal
journals/sigmod/KambhampatiK03, Information integration on the Web: a view from AI and databases (report on IIWeb-03),2003,SIGMOD Record,Subbarao Kambhampati  Craig A. Knoblock
journals/tods/DeyS96, A Probabilistic Relational Model and Algebra,1996,ACM Trans. Database Syst.,Debabrata Dey  Sumit Sarkar
conf/sigmod/RundensteinerKZWLLN99, Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,1999,SIGMOD Conference,Andreas Koeller  Amy J. Lee  Xin Zhang  Anisoara Nica  Elke A. Rundensteiner  Amber van Wyk  Yong Li
journals/tods/CiacciaTZ96, Declustering of Key-Based Partitioned Signature Files,1996,ACM Trans. Database Syst.,Pavel Zezula  Paolo Ciaccia  Paolo Tiberio
conf/sigmod/MaratheS99, Query Processing Techniques for Arrays,1999,SIGMOD Conference,Kenneth Salem  Arunprasad P. Marathe
journals/tods/Kim94, Charter and Scope,1994,ACM Trans. Database Syst.,Won Kim
journals/tods/SistlaWYS98, Towards a Theory of Cost Management for Digital Libraries and Electronic Commerce,1998,ACM Trans. Database Syst.,A. Prasad Sistla  Robert H. Sloan  Yelena Yesha  Ouri Wolfson
conf/vldb/GalanisWJD03, Locating Data Sources in Large Distributed Systems,2003,VLDB,David J. DeWitt  Leonidas Galanis  Shawn R. Jeffery  Yuan Wang
conf/vldb/AnciauxBBPV01, PicoDBMS: Validation and Experience,2001,VLDB,Philippe Pucheral  Christophe Bobineau  Luc Bouganim  Patrick Valduriez  Nicolas Anciaux
conf/sigmod/HanPY00, Mining Frequent Patterns without Candidate Generation,2000,SIGMOD Conference,Jian Pei  Jiawei Han  Yiwen Yin
conf/sigmod/Mylopoulos98, Panel on Next Generation Database Systems Won't Work Without Semantics!,1998,SIGMOD Conference,John Mylopoulos
journals/sigmod/NadoH97, Extracting Entity Profiles from Semistructured Information Spaces,1997,SIGMOD Record,Robert A. Nado  Scott B. Huffman
conf/sigmod/JohnsonD03, Data Quality and Data Cleaning: An Overview,2003,SIGMOD Conference,Theodore Johnson  Tamraparni Dasu
journals/sigmod/Wu02, Small Worlds: the Dynamics of Networks between Order and Randomness - Book Review,2002,SIGMOD Record,Jie Wu
conf/vldb/McKennaBHT96, EROC: A Toolkit for Building NEATO Query Optimizers,1996,VLDB,Melissa Truong  Louis Burger  William J. McKenna  Chi Hoang
conf/vldb/MadhavanH03, Composing Mappings Among Data Sources,2003,VLDB,Alon Y. Halevy  Jayant Madhavan
conf/vldb/GoldmanSVG98, Proximity Search in Databases,1998,VLDB,Narayanan Shivakumar  Hector Garcia-Molina  Roy Goldman  Suresh Venkatasubramanian
journals/sigmod/ChangGKRS98, Database Research at Columbia University,1998,SIGMOD Record,Kenneth A. Ross  Gail E. Kaiser  Luis Gravano  Salvatore J. Stolfo  Shih-Fu Chang
conf/sigmod/Atkinson95, Use of a Component Architecture in Integrating Relational and Non-relational Storage Systems,1995,SIGMOD Conference,Robert G. Atkinson
conf/sigmod/Cohen98a, Providing Database-like Access to the Web Using Queries Based on Textual Similarity,1998,SIGMOD Conference,William W. Cohen
conf/sigmod/QuassW97, On-Line Warehouse View Maintenance,1997,SIGMOD Conference,Jennifer Widom  Dallan Quass
conf/vldb/George98, DMS: A Parallel Data Mining Server,1998,VLDB,Felicity A. W. George
conf/vldb/LeeHJT03, Supporting Frequent Updates in R-Trees: A Bottom-Up Approach,2003,VLDB,Christian S. Jensen  Bin Cui  Mong-Li Lee  Keng Lik Teo  Wynne Hsu
conf/sigmod/Perna95, Leveraging The Information Asset,1995,SIGMOD Conference,Janet Perna
conf/sigmod/BonnetBCCCHKMMOSS99, The Cornell Jaguar System: Adding Mobility to PREDATOR,1999,SIGMOD Conference,Zhiyuan Chen  Daniel Mahashin  Victor Cheng  Kyle Buza  Tobias Mayr  Hubert Siu  Randolph Chung  Ivan Oprencak  Philippe Bonnet  Takako M. Hickey  Praveen Seshadri  Ryan Kennedy
conf/vldb/Hamilton99, Networked Data Management Design Points,1999,VLDB,James R. Hamilton
conf/vldb/JiangSLB00, The BT-tree: A Branched and Temporal Access Method,2000,VLDB,David B. Lomet  Betty Salzberg  Linan Jiang  Manuel Barrena Garc�a
conf/sigmod/ChaudhuriN98a, Microsoft Index Tuning Wizard for SQL Server 7.0,1998,SIGMOD Conference,Surajit Chaudhuri  Vivek R. Narasayya
conf/sigmod/IoannidisL94, Incomplete Path Expressions and their Disambiguation,1994,SIGMOD Conference,Yannis E. Ioannidis  Yezdi Lashkari
journals/sigmod/DrewHKKLLLSW95, Data and Knowledge Base Research at Hong Kong University of Science and Technology,1995,SIGMOD Record,Babak Hamidzadeh  Kamalakar Karlapalem  Qing Li  Chung-Dak Shum  Dik Lun Lee  Frederick H. Lochovsky  Beat W�thrich  Alex Chia-Yee Kean  Pamela Drew
conf/vldb/NiermanJ02, ProTDB: Probabilistic Data in XML,2002,VLDB,Andrew Nierman  H. V. Jagadish
conf/vldb/BonczMK99, Database Architecture Optimized for the New Bottleneck: Memory Access,1999,VLDB,Stefan Manegold  Peter A. Boncz  Martin L. Kersten
conf/sigmod/RoySSB00, Efficient and Extensible Algorithms for Multi Query Optimization,2000,SIGMOD Conference,S. Sudarshan  Siddhesh Bhobe  S. Seshadri  Prasan Roy
journals/sigmod/Snodgrass98b, Chair's Message,1998,SIGMOD Record,Richard T. Snodgrass
conf/sigmod/VingralekBW94, Distributed File Organization with Scalable Cost/Performance,1994,SIGMOD Conference,Yuri Breitbart  Gerhard Weikum  Radek Vingralek
journals/sigmod/TatarinovIMHSDDKMM03, The Piazza peer data management project,2003,SIGMOD Record,Gerome Miklau  Jayant Madhavan  Igor Tatarinov  Zachary G. Ives  Xin Dong  Yana Kadiyska  Alon Y. Halevy  Nilesh N. Dalvi  Dan Suciu  Peter Mork
conf/sigmod/BlakeleyP98, Microsoft Universal Data Access Platform,1998,SIGMOD Conference,Michael Pizzo  Jos� A. Blakeley
conf/vldb/Chakrabarti02, Searching and Mining Fine-Grained Semi-Structured Data,2002,VLDB,Soumen Chakrabarti
journals/sigmod/SnodgrassHMOPRRWY98, Reminiscences on Influential Papers,1998,SIGMOD Record,Z. Meral �zsoyoglu  Philip S. Yu  Nick Roussopoulos  Krithi Ramamritham  Alberto O. Mendelzon  Richard T. Snodgrass  Laura M. Haas  Jennifer Widom  Jan Paredaens
conf/sigmod/LitwinS00, LH*RS: A High-Availability Scalable Distributed Data Structure using Reed Solomon Codes,2000,SIGMOD Conference,Thomas J. E. Schwarz  Witold Litwin
conf/vldb/RothS97, Don't Scrap It  Wrap It! A Wrapper Architecture for Legacy Data Sources,1997,VLDB,Peter M. Schwarz  Mary Tork Roth
journals/sigmod/Suciu97, Foreword: Management of Semistructured Data,1997,SIGMOD Record,Dan Suciu
journals/tods/ChomickiTB01, Querying ATSQL databases with temporal logic,2001,ACM Trans. Database Syst.,Jan Chomicki  David Toman  Michael H. B�hlen
conf/vldb/Bhashyam96, TPC-D: The Challenges  Issues and Results,1996,VLDB,Ramesh Bhashyam
conf/sigmod/FaloutsosL95, FastMap: A Fast Algorithm for Indexing  Data-Mining and Visualization of Traditional and Multimedia Datasets,1995,SIGMOD Conference,King-Ip Lin  Christos Faloutsos
journals/sigmod/Qian96, Shutdown  Budget  and Funding,1996,SIGMOD Record,Xiaolei Qian
conf/sigmod/SeshadriHPLRSSS96, Cost-Based Optimization for Magic: Algebra and Implementation,1996,SIGMOD Conference,Hamid Pirahesh  T. Y. Cliff Leung  S. Sudarshan  Praveen Seshadri  Divesh Srivastava  Raghu Ramakrishnan  Joseph M. Hellerstein  Peter J. Stuckey
journals/vldb/AntoshenkovZ96, Query Processing and Optimization in Oracle Rdb,1996,VLDB J.,Gennady Antoshenkov  Mohamed Ziauddin
conf/sigmod/CrescenziMM02, RoadRunner: automatic data extraction from data-intensive web sites,2002,SIGMOD Conference,Giansalvatore Mecca  Valter Crescenzi  Paolo Merialdo
conf/vldb/ManolopoulosT01, C2P: Clustering based on Closest Pairs,2001,VLDB,Yannis Theodoridis  Alexandros Nanopoulos  Yannis Manolopoulos
journals/sigmod/Wade96, Object Query Standards,1996,SIGMOD Record,Andrew E. Wade
journals/sigmod/PossasMCR00, Using Quantitative Information for Efficient Association Rule Generation,2000,SIGMOD Record,M�rcio de Carvalho  Rodolfo F. Resende  Bruno P�ssas  Wagner Meira Jr.
conf/sigmod/IlyasRLGL03, Estimating Compilation Time of a Query Optimizer,2003,SIGMOD Conference,Dengfeng Gao  Eileen Tien Lin  Jun Rao  Ihab F. Ilyas  Guy M. Lohman
conf/sigmod/ChangC01, PBIR - Perception-Based Image Retrieval,2001,SIGMOD Conference,Lihyuarn L. Chang  Edward Y. Chang  Tim Cheng
conf/vldb/OhuraTPK02, Experiments on Query Expansion for Internet Yellow Page Services Using Web Log Mining,2002,VLDB,Iko Pramudiono  Katsumi Takahashi  Masaru Kitsuregawa  Yusuke Ohura
conf/vldb/BaumgartnerFG01a, Supervised Wrapper Generation with Lixto,2001,VLDB,Sergio Flesca  Robert Baumgartner  Georg Gottlob
conf/sigmod/NybergBCGL94, AlphaSort: A RISC Machine Sort,1994,SIGMOD Conference,David B. Lomet  Jim Gray  Zarka Cvetanovic  Chris Nyberg  Tom Barclay
journals/sigmod/Fong95, Mapping Extended Entity Relationship Model to Object Modeling Technique,1995,SIGMOD Record,Joseph Fong
conf/sigmod/Ozsu99, Data Management Issues in Electronic Commerce (Panel),1999,SIGMOD Conference,M. Tamer �zsu
conf/vldb/SrivastavaDJL96, Answering Queries with Aggregation Using Views,1996,VLDB,H. V. Jagadish  Shaul Dar  Divesh Srivastava  Alon Y. Levy
